,player type,player,result
0,"smart 2: 0, 0.6",3,self lose challange
1,"smart 2: 0, 0.6",3,self lose challange
2,"smart 2: 2, 0.6",2,turned flower
3,"smart 2: 2, 0.6",2,turned flower
4,"smart 2: 2, 0.6",2,turned flower
5,"smart 2: 2, 0.6",2,turned flower
6,"smart 2: 2, 0.6",2,turned flower
7,"smart 2: 2, 0.6",2,turned flower
8,"smart 2: 2, 0.6",2,lose challange
9,"smart 2: 0, 0.6",3,turned flower
10,"smart 2: 0, 0.6",3,lose challange
11,approx q learning,0,turned flower
12,approx q learning,0,lose challange
13,approx q learning,0,turned flower
14,approx q learning,0,turned flower
15,approx q learning,0,lose challange
16,approx q learning,0,turned flower
17,approx q learning,0,turned flower
18,approx q learning,0,turned flower
19,approx q learning,0,turned flower
20,approx q learning,0,turned flower
21,approx q learning,0,win challange
22,approx q learning,0,turned flower
23,approx q learning,0,turned flower
24,approx q learning,0,turned flower
25,approx q learning,0,lose challange
26,approx q learning,0,turned flower
27,approx q learning,0,lose game
28,"smart 2: 0, 0.4",1,self lose challange
29,"smart 2: 0, 0.6",3,turned flower
30,"smart 2: 0, 0.6",3,lose game
31,"smart 2: 2, 0.6",2,turned flower
32,"smart 2: 2, 0.6",2,turned flower
33,"smart 2: 2, 0.6",2,self lose challange
34,"smart 2: 0, 0.4",1,turned flower
35,"smart 2: 0, 0.4",1,win challange
36,"smart 2: 0, 0.4",1,self lose challange
37,"smart 2: 0, 0.4",1,win challange
38,"smart 2: 0, 0.6",3,self lose challange
39,"smart 2: 2, 0.6",2,turned flower
40,"smart 2: 2, 0.6",2,turned flower
41,"smart 2: 2, 0.6",2,lose challange
42,approx q learning,0,turned flower
43,approx q learning,0,turned flower
44,approx q learning,0,lose challange
45,"smart 2: 2, 0.6",2,turned flower
46,"smart 2: 2, 0.6",2,lose challange
47,"smart 2: 0, 0.4",1,self lose challange
48,"smart 2: 0, 0.6",3,self lose challange
49,"smart 2: 0, 0.6",3,turned flower
50,"smart 2: 0, 0.6",3,turned flower
51,"smart 2: 0, 0.6",3,turned flower
52,"smart 2: 0, 0.6",3,win challange
53,approx q learning,0,turned flower
54,approx q learning,0,lose challange
55,"smart 2: 0, 0.4",1,self lose challange
56,approx q learning,0,turned flower
57,approx q learning,0,turned flower
58,approx q learning,0,turned flower
59,approx q learning,0,lose challange
60,"smart 2: 0, 0.4",1,self lose challange
61,approx q learning,0,self lose game
62,"smart 2: 2, 0.6",2,turned flower
63,"smart 2: 2, 0.6",2,win challange
64,"smart 2: 0, 0.4",1,turned flower
65,"smart 2: 0, 0.4",1,lose game
66,"smart 2: 0, 0.6",3,self lose challange
67,"smart 2: 0, 0.6",3,win challange
68,approx q learning,0,turned flower
69,approx q learning,0,lose challange
70,"smart 2: 0, 0.4",1,turned flower
71,"smart 2: 0, 0.4",1,lose challange
72,approx q learning,0,turned flower
73,approx q learning,0,turned flower
74,approx q learning,0,turned flower
75,approx q learning,0,win challange
76,approx q learning,0,turned flower
77,approx q learning,0,turned flower
78,approx q learning,0,win challange
79,"smart 2: 0, 0.4",1,self lose challange
80,approx q learning,0,turned flower
81,approx q learning,0,turned flower
82,approx q learning,0,lose challange
83,"smart 2: 2, 0.6",2,turned flower
84,"smart 2: 2, 0.6",2,self lose challange
85,approx q learning,0,turned flower
86,approx q learning,0,lose challange
87,approx q learning,0,turned flower
88,approx q learning,0,turned flower
89,approx q learning,0,turned flower
90,approx q learning,0,lose challange
91,approx q learning,0,turned flower
92,approx q learning,0,lose game
93,"smart 2: 2, 0.6",2,turned flower
