,player_type,player,result
0,"smart 2: 0, 0.4",1,win via score
1,"smart 2: 0, 0.6",3,win via score
2,approx q learning,0,win via score
3,"smart 2: 0, 0.4",1,win via score
4,"smart 2: 2, 0.6",2,win via score
5,approx q learning,0,win via score
6,"smart 2: 0, 0.4",1,win via score
7,"smart 2: 0, 0.6",3,win via score
8,"smart 2: 2, 0.6",2,win via score
9,"smart 2: 2, 0.6",2,win via score
10,"smart 2: 2, 0.6",2,win via elim
11,"smart 2: 0, 0.4",1,win via score
12,"smart 2: 2, 0.6",2,win via score
13,"smart 2: 2, 0.6",2,win via score
14,"smart 2: 2, 0.6",2,win via score
15,"smart 2: 0, 0.4",1,win via score
16,"smart 2: 0, 0.4",1,win via score
17,"smart 2: 0, 0.4",1,win via score
18,"smart 2: 0, 0.6",3,win via score
19,"smart 2: 2, 0.6",2,win via score
20,approx q learning,0,win via score
21,"smart 2: 0, 0.6",3,win via score
22,"smart 2: 0, 0.6",3,win via score
23,"smart 2: 0, 0.4",1,win via score
24,"smart 2: 0, 0.6",3,win via score
25,"smart 2: 2, 0.6",2,win via score
26,"smart 2: 0, 0.6",3,win via score
27,"smart 2: 2, 0.6",2,win via score
28,"smart 2: 0, 0.4",1,win via score
29,"smart 2: 0, 0.6",3,win via score
30,"smart 2: 0, 0.6",3,win via elim
31,approx q learning,0,win via score
32,"smart 2: 0, 0.4",1,win via score
33,approx q learning,0,win via score
34,approx q learning,0,win via score
35,"smart 2: 2, 0.6",2,win via score
36,"smart 2: 2, 0.6",2,win via score
37,approx q learning,0,win via score
38,"smart 2: 0, 0.6",3,win via score
39,approx q learning,0,win via score
40,"smart 2: 2, 0.6",2,win via score
41,"smart 2: 0, 0.4",1,win via score
42,"smart 2: 0, 0.6",3,win via score
43,approx q learning,0,win via score
44,"smart 2: 2, 0.6",2,win via score
45,"smart 2: 2, 0.6",2,win via elim
46,"smart 2: 2, 0.6",2,win via score
47,"smart 2: 0, 0.6",3,win via score
48,"smart 2: 2, 0.6",2,win via score
49,"smart 2: 2, 0.6",2,win via elim
50,"smart 2: 0, 0.6",3,win via score
51,"smart 2: 2, 0.6",2,win via score
52,"smart 2: 0, 0.6",3,win via score
53,approx q learning,0,win via score
54,"smart 2: 2, 0.6",2,win via elim
55,approx q learning,0,win via score
56,"smart 2: 0, 0.6",3,win via elim
57,"smart 2: 2, 0.6",2,win via score
58,"smart 2: 2, 0.6",2,win via score
59,"smart 2: 2, 0.6",2,win via score
60,"smart 2: 0, 0.4",1,win via score
61,"smart 2: 0, 0.6",3,win via score
62,approx q learning,0,win via score
63,"smart 2: 2, 0.6",2,win via score
64,"smart 2: 0, 0.6",3,win via elim
65,"smart 2: 0, 0.6",3,win via score
66,"smart 2: 0, 0.6",3,win via score
67,"smart 2: 0, 0.6",3,win via score
68,"smart 2: 0, 0.6",3,win via score
69,"smart 2: 2, 0.6",2,win via score
70,"smart 2: 0, 0.4",1,win via elim
71,approx q learning,0,win via score
72,"smart 2: 0, 0.6",3,win via elim
73,"smart 2: 0, 0.4",1,win via score
74,approx q learning,0,win via score
75,"smart 2: 0, 0.4",1,win via score
76,approx q learning,0,win via score
77,"smart 2: 2, 0.6",2,win via score
78,"smart 2: 0, 0.4",1,win via score
79,approx q learning,0,win via score
80,"smart 2: 0, 0.6",3,win via score
81,"smart 2: 2, 0.6",2,win via score
82,"smart 2: 0, 0.4",1,win via score
83,"smart 2: 2, 0.6",2,win via score
84,"smart 2: 2, 0.6",2,win via score
