,player type,player,result
0,"smart 2: 0, 0.6",3,turned flower
1,"smart 2: 0, 0.6",3,lose challange
2,approx q learning,0,turned flower
3,approx q learning,0,lose challange
4,"smart 2: 0, 0.4",1,self lose challange
5,approx q learning,0,turned flower
6,approx q learning,0,lose challange
7,approx q learning,0,turned flower
8,approx q learning,0,lose challange
9,"smart 2: 0, 0.4",1,self lose challange
10,approx q learning,0,turned flower
11,approx q learning,0,turned flower
12,approx q learning,0,lose game
13,"smart 2: 0, 0.6",3,turned flower
14,"smart 2: 0, 0.6",3,turned flower
15,"smart 2: 0, 0.6",3,turned flower
16,"smart 2: 0, 0.6",3,lose challange
17,"smart 2: 0, 0.4",1,turned flower
18,"smart 2: 0, 0.4",1,turned flower
19,"smart 2: 0, 0.4",1,win challange
20,"smart 2: 0, 0.4",1,turned flower
21,"smart 2: 0, 0.4",1,turned flower
22,"smart 2: 0, 0.4",1,win challange
23,approx q learning,0,turned flower
24,approx q learning,0,self lose challange
25,approx q learning,0,self lose challange
26,approx q learning,0,turned flower
27,approx q learning,0,self lose challange
28,approx q learning,0,turned flower
29,approx q learning,0,lose game
30,"smart 2: 0, 0.6",3,self lose challange
31,"smart 2: 0, 0.4",1,turned flower
32,"smart 2: 0, 0.4",1,turned flower
33,"smart 2: 0, 0.4",1,lose challange
34,"smart 2: 2, 0.6",2,turned flower
35,"smart 2: 2, 0.6",2,turned flower
36,"smart 2: 2, 0.6",2,turned flower
37,"smart 2: 2, 0.6",2,win challange
38,"smart 2: 0, 0.4",1,turned flower
39,"smart 2: 0, 0.4",1,turned flower
40,"smart 2: 0, 0.4",1,win challange
41,"smart 2: 0, 0.4",1,turned flower
42,"smart 2: 0, 0.4",1,turned flower
43,"smart 2: 0, 0.4",1,self lose challange
44,"smart 2: 0, 0.6",3,turned flower
45,"smart 2: 0, 0.6",3,turned flower
46,"smart 2: 0, 0.6",3,lose challange
47,"smart 2: 0, 0.4",1,turned flower
48,"smart 2: 0, 0.4",1,win challange
49,"smart 2: 0, 0.4",1,self lose challange
50,"smart 2: 0, 0.4",1,turned flower
51,"smart 2: 0, 0.4",1,turned flower
52,"smart 2: 0, 0.4",1,lose challange
53,approx q learning,0,self lose challange
54,approx q learning,0,self lose challange
55,"smart 2: 0, 0.4",1,self lose challange
56,"smart 2: 2, 0.6",2,self lose challange
57,"smart 2: 2, 0.6",2,turned flower
58,"smart 2: 2, 0.6",2,turned flower
59,"smart 2: 2, 0.6",2,lose challange
60,"smart 2: 0, 0.4",1,turned flower
61,"smart 2: 0, 0.4",1,turned flower
62,"smart 2: 0, 0.4",1,lose game
63,approx q learning,0,self lose challange
64,"smart 2: 0, 0.6",3,self lose challange
65,"smart 2: 0, 0.6",3,turned flower
66,"smart 2: 0, 0.6",3,turned flower
67,"smart 2: 0, 0.6",3,win challange
68,approx q learning,0,turned flower
69,approx q learning,0,win challange
70,"smart 2: 0, 0.6",3,self lose challange
71,approx q learning,0,turned flower
72,approx q learning,0,win challange
73,approx q learning,0,self lose challange
74,approx q learning,0,self lose challange
75,approx q learning,0,turned flower
76,approx q learning,0,turned flower
77,approx q learning,0,lose challange
78,"smart 2: 0, 0.6",3,turned flower
79,"smart 2: 0, 0.6",3,lose challange
80,approx q learning,0,self lose game
81,"smart 2: 0, 0.4",1,self lose challange
82,"smart 2: 0, 0.6",3,turned flower
83,"smart 2: 0, 0.6",3,win challange
84,"smart 2: 2, 0.6",2,self lose challange
85,"smart 2: 0, 0.6",3,self lose challange
86,"smart 2: 0, 0.4",1,self lose challange
87,"smart 2: 0, 0.4",1,turned flower
88,"smart 2: 0, 0.4",1,self lose challange
89,"smart 2: 0, 0.6",3,turned flower
90,"smart 2: 0, 0.6",3,turned flower
91,"smart 2: 0, 0.6",3,win challange
92,approx q learning,0,turned flower
93,approx q learning,0,lose challange
94,"smart 2: 2, 0.6",2,turned flower
95,"smart 2: 2, 0.6",2,turned flower
96,"smart 2: 2, 0.6",2,turned flower
97,"smart 2: 2, 0.6",2,lose challange
98,approx q learning,0,turned flower
99,approx q learning,0,lose challange
100,"smart 2: 0, 0.6",3,turned flower
101,"smart 2: 0, 0.6",3,turned flower
102,"smart 2: 0, 0.6",3,turned flower
103,"smart 2: 0, 0.6",3,lose challange
104,approx q learning,0,turned flower
105,approx q learning,0,lose challange
106,approx q learning,0,turned flower
107,approx q learning,0,lose game
108,"smart 2: 2, 0.6",2,turned flower
109,"smart 2: 2, 0.6",2,lose challange
110,"smart 2: 0, 0.4",1,self lose challange
111,"smart 2: 2, 0.6",2,turned flower
112,"smart 2: 2, 0.6",2,lose challange
113,"smart 2: 0, 0.4",1,turned flower
114,"smart 2: 0, 0.4",1,turned flower
115,"smart 2: 0, 0.4",1,win challange
116,"smart 2: 0, 0.4",1,self lose challange
117,"smart 2: 0, 0.6",3,self lose challange
118,"smart 2: 0, 0.6",3,turned flower
119,"smart 2: 0, 0.6",3,self lose challange
120,"smart 2: 2, 0.6",2,turned flower
121,"smart 2: 2, 0.6",2,turned flower
122,"smart 2: 2, 0.6",2,lose game
123,"smart 2: 0, 0.6",3,win challange
124,"smart 2: 0, 0.4",1,self lose challange
125,"smart 2: 0, 0.4",1,win challange
126,"smart 2: 0, 0.4",1,self lose challange
127,"smart 2: 0, 0.6",3,turned flower
128,"smart 2: 0, 0.6",3,lose challange
129,approx q learning,0,self lose challange
130,"smart 2: 2, 0.6",2,self lose challange
131,"smart 2: 0, 0.4",1,self lose challange
132,"smart 2: 2, 0.6",2,turned flower
133,"smart 2: 2, 0.6",2,turned flower
134,"smart 2: 2, 0.6",2,lose challange
135,"smart 2: 0, 0.4",1,turned flower
136,"smart 2: 0, 0.4",1,lose challange
137,"smart 2: 0, 0.4",1,turned flower
