,eps_num,w_diff,result
0,0,25.0,turned flower
1,1,25.0,lose challange
2,2,48.75,turned flower
3,3,104.5,turned flower
4,4,25.0,lose challange
5,5,209.8125,turned flower
6,6,25.0,turned flower
7,7,130.0,lose challange
8,8,80.5625,turned flower
9,9,37.5,lose game
10,10,99.765625,self lose challange
11,11,248.2421875,win challange
12,12,1361.81640625,self lose challange
13,13,9949.873046875,turned flower
14,14,133.75,turned flower
15,15,740.0,win challange
16,16,78190.2978515625,turned flower
17,17,5156.25,lose challange
18,18,590347.8588867188,turned flower
19,19,506.25,lose challange
20,20,2710325.9150390625,turned flower
21,21,2327.5,lose challange
22,22,5708389.61315918,turned flower
23,23,5208.875,turned flower
24,24,11937.25,turned flower
25,25,38671.875,lose challange
26,26,3598864.8548583984,turned flower
27,27,290264.0625,lose game
28,28,2696545.2159118652,turned flower
29,29,34247.734375,turned flower
30,30,1386269.140625,turned flower
31,31,2177205.46875,lose challange
32,32,6396810.143005371,turned flower
33,33,10004319.115625,turned flower
34,34,213032.77968749998,turned flower
35,35,1400190.140625,win challange
36,36,20117821.139208984,turned flower
37,37,103356.02742187504,turned flower
38,38,12392007.327421874,turned flower
39,39,40032259.01562499,win challange
40,40,111491520.67742215,turned flower
41,41,344471544.23311454,turned flower
42,42,1814893588.8775592,turned flower
43,43,119866451.203125,turned flower
44,44,2082006.6795664066,turned flower
45,45,16185191.618132818,lose challange
46,46,8193492697.7260275,turned flower
47,47,64349301.16166713,turned flower
48,48,444772200.3132301,turned flower
49,49,41585575.52177052,turned flower
50,50,114278264.51896994,lose challange
51,51,14581768383.793306,turned flower
52,52,15421054047.354431,turned flower
53,53,256679808.53311017,turned flower
54,54,672278099.469805,lose challange
55,55,7614004649.123936,turned flower
56,56,862623262.1437501,lose game
57,57,26552344502.634945,turned flower
58,58,2868066651.683437,turned flower
59,59,2697211476.1932144,turned flower
60,60,18165948383.045437,turned flower
61,61,1487125280.9796433,turned flower
62,62,3854238838.4312105,lose challange
63,63,116984108860.62732,turned flower
64,64,7933566483.910405,lose challange
65,65,730532327770.6692,turned flower
66,66,34181971051.533264,lose challange
67,67,3329721851488.741,turned flower
68,68,65787196153.37741,turned flower
69,69,137558535080.34555,lose challange
70,70,6583164019003.471,turned flower
71,71,1031689013102.5916,lose challange
72,72,3885333683964.2124,turned flower
73,73,64059634221.14348,turned flower
74,74,63743205019.29863,lose game
75,75,3347667671920.1943,turned flower
76,76,197369647768.9356,lose challange
77,77,15236964319312.047,turned flower
78,78,445629432657.11755,turned flower
79,79,2062157351363.5906,turned flower
80,80,7737667598544.436,win challange
81,81,35021614557024.22,turned flower
82,82,93450669284443.03,self lose challange
83,83,216885190633301.0,turned flower
84,84,58032506989358.27,lose challange
85,85,146558483570088.78,self lose game
86,86,98300159718518.05,turned flower
87,87,691593063913.2859,lose challange
88,88,459313998911195.25,turned flower
89,89,3274969228249.532,turned flower
90,90,6128057219978.628,turned flower
91,91,110544825410246.23,turned flower
92,92,138253592157489.97,win challange
93,93,1837503442223626.5,self lose challange
94,94,3981138192263152.0,turned flower
95,95,459641931898274.44,turned flower
96,96,534347998653100.5,win challange
97,97,1.671877391793646e+16,turned flower
98,98,1256565130118843.5,turned flower
99,99,17354268160664.803,lose challange
100,100,7.575762352437558e+16,turned flower
101,101,749747334938037.6,turned flower
102,102,941724441509286.2,lose challange
103,103,1.353956960304747e+17,turned flower
104,104,1.4559634799509075e+17,turned flower
105,105,2479821769310003.0,turned flower
106,106,1823280662641559.8,turned flower
107,107,2208998071053906.5,lose challange
108,108,7.283718337166539e+16,turned flower
109,109,3669657048297278.0,lose game
110,110,2.653476424446453e+17,turned flower
111,111,2.3854423432248816e+16,lose challange
112,112,1.2256371425841375e+18,turned flower
113,113,1.0495078803020934e+16,lose challange
114,114,2.523625069680009e+18,turned flower
115,115,7.8713091022657e+16,lose challange
116,116,1.0932418251061656e+19,turned flower
117,117,1.438138630898172e+16,win challange
118,118,8.213929814382523e+19,turned flower
119,119,1.875021300995982e+17,lose challange
120,120,3.772422640885997e+20,turned flower
121,121,1.1806963653398538e+17,win challange
122,122,2.448841372367751e+21,turned flower
123,123,4.7123526904922024e+16,turned flower
124,124,1.096326872384456e+17,turned flower
125,125,1.0936437365450493e+17,lose challange
126,126,1.8366311658448461e+22,turned flower
127,127,1.422382434775489e+17,turned flower
128,128,1.6977829208217203e+17,win challange
129,129,1.377468558509159e+23,turned flower
130,130,1.0057403175922757e+18,turned flower
131,131,5.065727349977476e+17,lose challange
132,132,6.320050174108974e+23,turned flower
133,133,2.02629093999099e+18,lose challange
134,134,4.1019400967753134e+24,turned flower
135,135,1.1834655736487862e+17,turned flower
136,136,3.1125957153049953e+18,turned flower
137,137,2.051099513904736e+18,turned flower
138,138,1.3160493434642817e+19,lose challange
139,139,1.0602711681962798e+25,turned flower
140,140,2.784980993966334e+25,turned flower
141,141,9.87037007598211e+19,lose challange
142,142,5.740360912221934e+25,turned flower
143,143,2.5304657208481295e+18,turned flower
144,144,2.1107104834755992e+20,turned flower
145,145,2.5713608043638188e+20,turned flower
146,146,6.784689120691892e+20,lose challange
147,147,3.656505589120303e+25,turned flower
148,148,7.370636811186631e+20,turned flower
149,149,2.8001814919866584e+20,turned flower
150,150,2.7138756482767567e+21,lose game
151,151,1.9163895182114847e+25,turned flower
152,152,1.5054827589791415e+22,lose challange
153,153,1.4367730476079243e+26,turned flower
154,154,5.53857388019752e+22,lose challange
155,155,1.0772849397637607e+27,turned flower
156,156,3.622226891765512e+23,lose challange
157,157,4.9441869655452036e+27,turned flower
158,158,1.6338128177517576e+21,turned flower
159,159,1.819488607086467e+21,lose challange
160,160,1.040984294009897e+28,turned flower
161,161,2.1100442814779517e+21,turned flower
162,162,7.739891644130611e+23,turned flower
163,163,1.6620150285101652e+24,lose challange
164,164,6.420527371164529e+27,turned flower
165,165,6.648060114040661e+24,lose game
166,166,4.6176200550945855e+26,turned flower
167,167,2.3901869291420152e+27,turned flower
168,168,6.108632778266605e+21,turned flower
169,169,3.45505054158611e+24,turned flower
170,170,7.75080857577313e+24,lose challange
171,171,1.1434153030078055e+28,turned flower
172,172,5.231714101054348e+25,lose challange
173,173,2.356318026255814e+28,turned flower
174,174,8.472924546178625e+24,turned flower
175,175,1.8895421713209147e+26,turned flower
176,176,3.92378557579076e+26,lose challange
177,177,1.4172683432595668e+28,turned flower
178,178,2.9428391818430705e+27,lose game
179,179,1.3139164440194394e+28,turned flower
180,180,1.1354035927910545e+27,turned flower
181,181,1.5784813006870028e+27,lose challange
182,182,3.6160538296504563e+28,turned flower
183,183,9.336297635177136e+28,turned flower
184,184,5.238174971803391e+27,turned flower
185,185,4.272874510321328e+27,turned flower
186,186,2.2438248139595853e+28,lose challange
187,187,1.5296866177894464e+29,turned flower
188,188,1.5805925888379392e+29,turned flower
189,189,7.65784812661052e+27,turned flower
190,190,2.0192640446926564e+28,lose challange
191,191,6.901571052851979e+28,turned flower
192,192,1.7208077097626698e+28,lose game
193,193,4.3205370866951155e+29,turned flower
194,194,4.2586485535865725e+28,turned flower
195,195,3.328730722789384e+28,turned flower
196,196,3.3259534946498392e+28,lose challange
197,197,2.0557232704241993e+30,turned flower
198,198,1.042561364147358e+28,turned flower
199,199,7.063850558481053e+28,win challange
200,200,1.3591238616915866e+31,turned flower
201,201,2.283320572648589e+29,turned flower
202,202,5.417963229958e+28,lose challange
203,203,6.248790641008219e+31,turned flower
204,204,1.0261683511882366e+29,win challange
205,205,2.5027486867095304e+32,turned flower
206,206,4.9130395960055276e+29,turned flower
207,207,1.869259137380291e+29,lose challange
208,208,4.394476354830237e+32,turned flower
209,209,4.6350134321787416e+32,turned flower
210,210,0.0,lose challange
211,211,2.2375893460278716e+32,turned flower
212,212,0.0,lose game
213,213,7.686196934856033e+31,turned flower
214,214,3.8239377470942065e+32,turned flower
215,215,1.810150514636035e+29,turned flower
216,216,3.6415293016236665e+29,lose challange
