,eps_num,w_diff,result
0,0.0,0.0,0.0
1,1.0,0.0,attempt loss
2,2.0,0.0,0.0
3,3.0,65.0,other player skull
4,4.0,105.0,0.0
5,5.0,1585.5,attempt loss
6,6.0,3.5,other player no skull
7,7.0,78.975,0.0
8,8.0,381.1249999999999,other player no skull
9,9.0,2732.5374999999995,other player no skull
10,10.0,6691.226249999999,0.0
11,11.0,149118.90187499998,other player no skull
12,12.0,2830.274999999999,0.0
13,13.0,105456.8625,attempt loss
14,14.0,575138.03125,other player no skull
15,15.0,2247622.548749999,other player skull
16,16.0,34693417.6734375,other player skull
17,17.0,3795929.0062499996,other player skull
18,18.0,28174624.307812497,attempt loss
19,19.0,96488042.92312504,0.0
20,20.0,869148884.56875,other player no skull
21,21.0,5192510732.369062,other player skull
22,22.0,83012956.81710954,0.0
23,23.0,3185978156.48848,attempt loss
24,24.0,29083648296.668877,attempt loss
25,25.0,31155064394.214375,other player skull
26,26.0,249605463903.5661,other player skull
27,27.0,111459479621.08429,other player skull
28,28.0,289822645153.91547,other player skull
29,29.0,1181884707390.1719,attempt won
30,30.0,8586048953826.504,other player skull
31,31.0,501972788614.7025,0.0
32,32.0,2380792934533.4224,other player no skull
33,33.0,34181601538885.46,other player no skull
34,34.0,785953453902394.5,other player skull
35,35.0,52514373384046.516,other player skull
36,36.0,293238706252058.75,attempt loss
37,37.0,2874983495556462.0,other player no skull
38,38.0,3508950973688250.0,0.0
39,39.0,5.242326294384165e+16,attempt loss
40,40.0,2050796483493294.0,other player no skull
41,41.0,4101592966986588.0,other player no skull
42,42.0,1.1298649178108944e+16,other player skull
43,43.0,1.8267503518207e+16,0.0
44,44.0,2.4928436350208504e+16,other player no skull
45,45.0,1.0929264496498877e+17,other player skull
46,46.0,8.677348722722635e+16,0.0
47,47.0,7.866861841179297e+17,0.0
48,48.0,1.1122652305285796e+19,other player no skull
49,49.0,1.282485475124587e+18,other player no skull
50,50.0,8.706666924824351e+17,0.0
51,51.0,3.8616120630730424e+19,attempt loss
52,52.0,3.61084845265275e+20,other player skull
53,53.0,9.064219944977156e+21,other player skull
54,54.0,2.405378704657379e+20,other player no skull
55,55.0,2.4178821083076734e+21,other player skull
56,56.0,1.0506050928417014e+22,attempt loss
57,57.0,3.2383854649259548e+22,attempt won
58,58.0,1.3062811811789794e+22,0.0
59,59.0,1.1235047470473702e+22,other player skull
60,60.0,2.9464061933988254e+22,other player no skull
61,61.0,6.201156504295959e+22,other player no skull
62,62.0,9.276424034757863e+22,attempt loss
63,63.0,6.462080772400405e+23,other player skull
64,64.0,1.924081598422095e+23,other player skull
65,65.0,8.658367192899425e+23,other player skull
66,66.0,1.0219953194277326e+24,0.0
67,67.0,5.753274377881678e+24,0.0
68,68.0,1.7580754585766939e+25,0.0
69,69.0,5.306893060220051e+26,other player skull
70,70.0,1.1209149850982589e+25,other player no skull
71,71.0,6.725489910589553e+25,other player no skull
72,72.0,4.035293946353732e+26,other player no skull
73,73.0,3.228719321805321e+27,attempt loss
74,74.0,8.553293506266392e+27,other player skull
75,75.0,5.356224158171324e+28,other player no skull
76,76.0,5.265971728504677e+27,0.0
77,77.0,1.3107373429920057e+29,attempt loss
78,78.0,1.4156802954321805e+30,attempt won
79,79.0,6.435398003550363e+27,0.0
80,80.0,4.850011095992124e+29,other player no skull
81,81.0,1.1897176749414471e+31,other player no skull
82,82.0,9.762512755360695e+30,other player no skull
83,83.0,5.044707691709638e+31,other player no skull
84,84.0,7.734664239966822e+31,other player no skull
85,85.0,6.149841888339617e+32,other player no skull
86,86.0,3.7914195968721164e+32,attempt won
87,87.0,3.0639456232783523e+33,attempt loss
88,88.0,5.227365605088674e+33,other player no skull
89,89.0,1.606811852494902e+35,other player no skull
90,90.0,1.2805572451416476e+34,other player skull
91,91.0,2.4864619953714285e+33,0.0
92,92.0,1.9109752991417407e+35,attempt loss
93,93.0,1.5561991992651294e+36,other player no skull
94,94.0,5.94789379367855e+36,other player skull
95,95.0,2.877679009756655e+36,attempt loss
96,96.0,1.4995777892483642e+37,other player no skull
97,97.0,1.4130049769439116e+38,other player no skull
98,98.0,9.089366049427542e+38,other player no skull
99,99.0,1.8242851998052767e+38,attempt loss
100,100.0,1.2007749850491445e+39,attempt loss
101,101.0,6.829101511453537e+39,other player skull
102,102.0,7.645933485663815e+40,other player skull
103,103.0,2.392836944403698e+39,0.0
104,104.0,9.888240770048926e+40,attempt loss
105,105.0,9.204481533714628e+41,attempt won
106,106.0,4.862416891949979e+40,0.0
107,107.0,1.1644005128600097e+42,other player no skull
108,108.0,5.661691581474737e+42,other player no skull
109,109.0,7.823809303657435e+42,attempt won
110,110.0,4.798136833766381e+43,attempt won
111,111.0,8.667147503385412e+43,other player skull
112,112.0,3.044067957888644e+45,other player skull
113,113.0,2.878882100259828e+44,attempt won
114,114.0,2.305632901505399e+45,attempt loss
115,115.0,5.633089968638164e+46,attempt won
116,116.0,1.2398625785026075e+47,0.0
117,117.0,7.533369635167941e+46,0.0
118,118.0,2.8691054329365196e+48,attempt loss
119,119.0,3.2834250614046656e+46,other player no skull
120,120.0,3.374326143009096e+47,other player no skull
121,121.0,2.2168033658372203e+48,other player no skull
122,122.0,1.3300820195023322e+49,other player no skull
123,123.0,2.468738448682611e+49,attempt loss
124,124.0,2.0984276813802195e+50,other player skull
125,125.0,1.7118180816730874e+50,other player skull
126,126.0,1.4912568367098555e+51,other player no skull
127,127.0,1.2868428522917695e+51,other player skull
128,128.0,7.721057113750618e+51,other player skull
129,129.0,1.1856900203061517e+52,other player skull
130,130.0,6.705857584409219e+52,other player no skull
131,131.0,3.036155459124464e+52,attempt loss
132,132.0,6.517392642431868e+52,other player skull
133,133.0,6.215113898648073e+52,attempt loss
134,134.0,5.65989149993891e+52,attempt loss
135,135.0,3.3880622383098024e+52,0.0
136,136.0,1.073611285627497e+54,other player skull
137,137.0,7.366962431955904e+54,other player skull
138,138.0,4.3999372870311725e+52,0.0
139,139.0,1.8064779210477476e+54,attempt loss
140,140.0,1.7982546412154383e+55,other player no skull
141,141.0,4.4201774591735423e+55,other player skull
142,142.0,2.46431845454332e+56,other player no skull
143,143.0,1.9692877364271882e+55,0.0
144,144.0,3.20778116317586e+56,attempt loss
145,145.0,2.568701527838116e+57,other player skull
146,146.0,9.401951113698927e+56,other player skull
147,147.0,6.7533238576108e+57,other player skull
148,148.0,2.18061874186879e+58,attempt loss
149,149.0,1.2452304763423075e+59,attempt won
150,150.0,5.485038795113911e+58,other player no skull
151,151.0,4.662282975846826e+59,other player no skull
152,152.0,1.2504557555389771e+60,other player skull
153,153.0,8.232753587129085e+60,other player skull
154,154.0,1.935269231180228e+60,other player no skull
155,155.0,3.036124569720928e+61,other player no skull
156,156.0,6.847092501883444e+60,0.0
157,157.0,1.2801616267368883e+62,attempt loss
158,158.0,1.088137382726355e+63,attempt loss
159,159.0,2.744173147362054e+62,other player skull
