,player_type,count,skull_threshold
0,approx q learning,124,0.0
1,"smart 2: 0, 0.4",111,0.0
2,"smart 2: 0, 0.6",440,0.0
3,"smart 2: 2, 0.6",325,0.0
0,approx q learning,124,0.010101010101010102
1,"smart 2: 0, 0.4",103,0.010101010101010102
2,"smart 2: 0, 0.6",452,0.010101010101010102
3,"smart 2: 2, 0.6",321,0.010101010101010102
0,approx q learning,129,0.020202020202020204
1,"smart 2: 0, 0.4",118,0.020202020202020204
2,"smart 2: 0, 0.6",411,0.020202020202020204
3,"smart 2: 2, 0.6",342,0.020202020202020204
0,approx q learning,158,0.030303030303030304
1,"smart 2: 0, 0.4",108,0.030303030303030304
2,"smart 2: 0, 0.6",410,0.030303030303030304
3,"smart 2: 2, 0.6",324,0.030303030303030304
0,approx q learning,150,0.04040404040404041
1,"smart 2: 0, 0.4",129,0.04040404040404041
2,"smart 2: 0, 0.6",392,0.04040404040404041
3,"smart 2: 2, 0.6",329,0.04040404040404041
0,approx q learning,144,0.05050505050505051
1,"smart 2: 0, 0.4",116,0.05050505050505051
2,"smart 2: 0, 0.6",402,0.05050505050505051
3,"smart 2: 2, 0.6",338,0.05050505050505051
0,approx q learning,177,0.06060606060606061
1,"smart 2: 0, 0.4",96,0.06060606060606061
2,"smart 2: 0, 0.6",409,0.06060606060606061
3,"smart 2: 2, 0.6",318,0.06060606060606061
0,approx q learning,169,0.07070707070707072
1,"smart 2: 0, 0.4",106,0.07070707070707072
2,"smart 2: 0, 0.6",424,0.07070707070707072
3,"smart 2: 2, 0.6",301,0.07070707070707072
0,approx q learning,169,0.08080808080808081
1,"smart 2: 0, 0.4",125,0.08080808080808081
2,"smart 2: 0, 0.6",381,0.08080808080808081
3,"smart 2: 2, 0.6",325,0.08080808080808081
0,approx q learning,217,0.09090909090909091
1,"smart 2: 0, 0.4",134,0.09090909090909091
2,"smart 2: 0, 0.6",356,0.09090909090909091
3,"smart 2: 2, 0.6",293,0.09090909090909091
0,approx q learning,133,0.10101010101010102
1,"smart 2: 0, 0.4",106,0.10101010101010102
2,"smart 2: 0, 0.6",435,0.10101010101010102
3,"smart 2: 2, 0.6",326,0.10101010101010102
0,approx q learning,191,0.11111111111111112
1,"smart 2: 0, 0.4",125,0.11111111111111112
2,"smart 2: 0, 0.6",384,0.11111111111111112
3,"smart 2: 2, 0.6",300,0.11111111111111112
0,approx q learning,200,0.12121212121212122
1,"smart 2: 0, 0.4",107,0.12121212121212122
2,"smart 2: 0, 0.6",368,0.12121212121212122
3,"smart 2: 2, 0.6",325,0.12121212121212122
0,approx q learning,220,0.13131313131313133
1,"smart 2: 0, 0.4",134,0.13131313131313133
2,"smart 2: 0, 0.6",347,0.13131313131313133
3,"smart 2: 2, 0.6",299,0.13131313131313133
0,approx q learning,220,0.14141414141414144
1,"smart 2: 0, 0.4",113,0.14141414141414144
2,"smart 2: 0, 0.6",357,0.14141414141414144
3,"smart 2: 2, 0.6",310,0.14141414141414144
0,approx q learning,220,0.15151515151515152
1,"smart 2: 0, 0.4",122,0.15151515151515152
2,"smart 2: 0, 0.6",340,0.15151515151515152
3,"smart 2: 2, 0.6",318,0.15151515151515152
0,approx q learning,218,0.16161616161616163
1,"smart 2: 0, 0.4",139,0.16161616161616163
2,"smart 2: 0, 0.6",366,0.16161616161616163
3,"smart 2: 2, 0.6",277,0.16161616161616163
0,approx q learning,242,0.17171717171717174
1,"smart 2: 0, 0.4",109,0.17171717171717174
2,"smart 2: 0, 0.6",334,0.17171717171717174
3,"smart 2: 2, 0.6",315,0.17171717171717174
0,approx q learning,255,0.18181818181818182
1,"smart 2: 0, 0.4",115,0.18181818181818182
2,"smart 2: 0, 0.6",329,0.18181818181818182
3,"smart 2: 2, 0.6",301,0.18181818181818182
0,approx q learning,105,0.19191919191919193
1,"smart 2: 0, 0.4",140,0.19191919191919193
2,"smart 2: 0, 0.6",406,0.19191919191919193
3,"smart 2: 2, 0.6",349,0.19191919191919193
0,approx q learning,265,0.20202020202020204
1,"smart 2: 0, 0.4",119,0.20202020202020204
2,"smart 2: 0, 0.6",317,0.20202020202020204
3,"smart 2: 2, 0.6",299,0.20202020202020204
0,approx q learning,108,0.21212121212121213
1,"smart 2: 0, 0.4",115,0.21212121212121213
2,"smart 2: 0, 0.6",458,0.21212121212121213
3,"smart 2: 2, 0.6",319,0.21212121212121213
0,approx q learning,277,0.22222222222222224
1,"smart 2: 0, 0.4",115,0.22222222222222224
2,"smart 2: 0, 0.6",306,0.22222222222222224
3,"smart 2: 2, 0.6",302,0.22222222222222224
0,approx q learning,275,0.23232323232323235
1,"smart 2: 0, 0.4",132,0.23232323232323235
2,"smart 2: 0, 0.6",297,0.23232323232323235
3,"smart 2: 2, 0.6",296,0.23232323232323235
0,approx q learning,295,0.24242424242424243
1,"smart 2: 0, 0.4",122,0.24242424242424243
2,"smart 2: 0, 0.6",316,0.24242424242424243
3,"smart 2: 2, 0.6",267,0.24242424242424243
0,approx q learning,299,0.25252525252525254
1,"smart 2: 0, 0.4",101,0.25252525252525254
2,"smart 2: 0, 0.6",311,0.25252525252525254
3,"smart 2: 2, 0.6",289,0.25252525252525254
0,approx q learning,306,0.26262626262626265
1,"smart 2: 0, 0.4",127,0.26262626262626265
2,"smart 2: 0, 0.6",290,0.26262626262626265
