,player type,player,result
0,"smart 2: 0, 0.5",1,win challange
1,"smart 2: 1, 0.6",3,self lose challange
2,"smart 2: 0, 0.5",1,lose challange
3,player q learn attempt,0,lose challange
4,player q learn attempt,0,lose challange
5,player q learn attempt,0,lose challange
6,player q learn attempt,0,self lose game
7,"smart 2: 0, 0.5",1,self lose challange
8,"smart 2: 0, 0.5",1,self lose challange
9,player q learn attempt,0,win challange
10,"smart 2: 0, 0.5",1,self lose challange
11,player q learn attempt,0,lose challange
12,"smart 2: 1, 0.6",3,lose challange
13,player q learn attempt,0,lose challange
14,player q learn attempt,0,lose challange
15,player q learn attempt,0,lose game
16,"smart 2: 1, 0.6",3,self lose challange
17,"smart 2: 4, 0.7",2,self lose challange
18,"smart 2: 4, 0.7",2,self lose challange
19,"smart 2: 4, 0.7",2,self lose challange
20,"smart 2: 4, 0.7",2,lose game
21,"smart 2: 1, 0.6",3,win challange
22,player q learn attempt,0,lose challange
23,player q learn attempt,0,lose challange
24,player q learn attempt,0,lose challange
25,player q learn attempt,0,lose game
26,"smart 2: 0, 0.5",1,self lose challange
27,"smart 2: 1, 0.6",3,self lose challange
28,"smart 2: 0, 0.5",1,lose challange
29,"smart 2: 1, 0.6",3,self lose challange
30,"smart 2: 0, 0.5",1,self lose challange
31,"smart 2: 0, 0.5",1,lose game
32,"smart 2: 1, 0.6",3,self lose challange
33,"smart 2: 1, 0.6",3,win challange
34,player q learn attempt,0,lose challange
35,"smart 2: 1, 0.6",3,lose challange
36,player q learn attempt,0,win challange
37,"smart 2: 1, 0.6",3,lose challange
38,player q learn attempt,0,win challange
39,player q learn attempt,0,lose challange
40,player q learn attempt,0,lose challange
41,player q learn attempt,0,lose challange
42,"smart 2: 0, 0.5",1,lose challange
43,player q learn attempt,0,lose challange
44,player q learn attempt,0,win challange
45,player q learn attempt,0,win challange
46,player q learn attempt,0,lose challange
47,"smart 2: 0, 0.5",1,self lose challange
48,"smart 2: 1, 0.6",3,lose challange
49,player q learn attempt,0,win challange
50,player q learn attempt,0,lose challange
51,player q learn attempt,0,lose challange
52,player q learn attempt,0,lose game
53,"smart 2: 4, 0.7",2,self lose challange
54,"smart 2: 0, 0.5",1,lose challange
55,"smart 2: 4, 0.7",2,win challange
56,"smart 2: 0, 0.5",1,self lose challange
57,"smart 2: 4, 0.7",2,self lose challange
58,"smart 2: 4, 0.7",2,self lose challange
59,"smart 2: 0, 0.5",1,win challange
60,player q learn attempt,0,lose challange
61,player q learn attempt,0,lose challange
62,player q learn attempt,0,lose challange
63,player q learn attempt,0,win challange
64,player q learn attempt,0,lose game
65,"smart 2: 0, 0.5",1,self lose challange
66,"smart 2: 0, 0.5",1,win challange
67,"smart 2: 1, 0.6",3,win challange
68,"smart 2: 0, 0.5",1,self lose challange
69,"smart 2: 4, 0.7",2,self lose challange
70,"smart 2: 0, 0.5",1,self lose challange
71,"smart 2: 4, 0.7",2,win challange
72,"smart 2: 0, 0.5",1,lose game
73,"smart 2: 4, 0.7",2,self lose challange
74,"smart 2: 1, 0.6",3,self lose challange
75,"smart 2: 1, 0.6",3,lose challange
76,"smart 2: 1, 0.6",3,self lose challange
77,player q learn attempt,0,lose challange
78,"smart 2: 1, 0.6",3,win challange
79,"smart 2: 4, 0.7",2,lose challange
80,"smart 2: 1, 0.6",3,lose game
81,"smart 2: 0, 0.5",1,win challange
82,player q learn attempt,0,lose challange
83,"smart 2: 0, 0.5",1,lose challange
84,player q learn attempt,0,lose challange
85,player q learn attempt,0,lose game
86,"smart 2: 4, 0.7",2,self lose challange
87,player q learn attempt,0,lose challange
88,"smart 2: 0, 0.5",1,win challange
89,player q learn attempt,0,lose challange
90,player q learn attempt,0,lose challange
91,player q learn attempt,0,lose game
92,"smart 2: 1, 0.6",3,lose challange
93,"smart 2: 0, 0.5",1,lose challange
94,"smart 2: 4, 0.7",2,self lose challange
95,"smart 2: 4, 0.7",2,self lose challange
96,"smart 2: 1, 0.6",3,lose challange
97,player q learn attempt,0,lose challange
98,"smart 2: 0, 0.5",1,self lose challange
99,"smart 2: 0, 0.5",1,self lose challange
100,player q learn attempt,0,lose challange
