,player,result
0,2,win via score
1,0,win via score
2,1,win via score
3,1,win via score
4,2,win via score
5,0,win via score
6,3,win via score
7,0,win via score
8,3,win via score
9,1,win via score
10,2,win via score
11,3,win via score
12,3,win via score
13,2,win via score
14,1,win via score
15,3,win via score
16,0,win via score
17,0,win via score
18,0,win via score
19,3,win via score
20,3,win via score
21,3,win via score
22,2,win via score
23,2,win via score
24,0,win via score
25,3,win via score
26,1,win via score
27,1,win via score
28,1,win via score
29,0,win via score
30,2,win via score
31,2,win via score
32,2,win via score
33,2,win via score
34,3,win via score
35,1,win via score
36,2,win via score
37,0,win via score
38,1,win via score
39,1,win via score
40,3,win via score
41,1,win via score
42,0,win via score
43,2,win via score
44,1,win via score
45,3,win via score
46,3,win via score
47,1,win via score
48,1,win via score
49,2,win via score
50,0,win via score
51,2,win via score
52,3,win via score
53,2,win via score
54,1,win via score
55,2,win via score
56,1,win via score
57,0,win via score
58,3,win via score
59,1,win via score
60,3,win via score
61,0,win via score
62,0,win via score
63,2,win via score
64,1,win via score
65,2,win via score
66,1,win via score
67,1,win via score
68,1,win via score
69,0,win via score
70,0,win via score
71,0,win via score
72,0,win via score
73,2,win via score
74,3,win via elim
75,2,win via score
76,3,win via score
77,0,win via score
78,2,win via score
79,2,win via score
80,2,win via score
81,1,win via score
82,3,win via score
83,3,win via score
84,1,win via score
85,0,win via score
86,2,win via score
87,1,win via score
88,2,win via score
89,2,win via elim
90,1,win via score
91,2,win via score
92,2,win via score
93,0,win via score
94,3,win via score
95,3,win via score
96,0,win via score
97,0,win via score
98,3,win via score
99,2,win via score
100,0,win via score
101,1,win via score
102,2,win via score
103,1,win via score
104,3,win via score
105,3,win via score
106,2,win via score
107,3,win via score
108,1,win via score
109,1,win via score
110,3,win via score
111,1,win via score
112,1,win via score
113,1,win via elim
114,1,win via score
115,2,win via score
116,1,win via score
117,2,win via score
118,2,win via score
119,1,win via score
120,1,win via score
121,2,win via score
122,0,win via score
123,1,win via score
124,0,win via score
125,1,win via score
126,3,win via score
127,1,win via score
128,1,win via score
129,2,win via score
130,3,win via elim
131,1,win via score
132,2,win via score
133,2,win via score
134,0,win via score
135,3,win via score
136,2,win via score
137,2,win via score
138,1,win via score
139,2,win via score
140,1,win via score
141,2,win via score
142,3,win via score
143,2,win via score
144,2,win via score
145,1,win via score
146,1,win via score
147,0,win via score
148,1,win via score
149,2,win via score
150,2,win via score
151,1,win via score
152,2,win via score
153,2,win via score
154,3,win via score
155,0,win via score
156,2,win via score
157,1,win via score
158,1,win via elim
159,0,win via score
160,3,win via score
161,1,win via score
162,1,win via score
163,2,win via score
164,3,win via score
165,3,win via score
