,player_type,player,result
0,"smart: 0.5, 0.6",1,win via score
1,"smart: 0.5, 0.6",1,win via score
2,"smart: 0.5, 0.6",1,win via score
3,"smart: 0.5, 0.6",0,win via elim
4,"smart: 0.5, 0.6",0,win via score
5,"smart: 0.5, 0.6",2,win via score
6,"smart: 0.5, 0.6",1,win via score
7,"smart: 0.5, 0.6",3,win via score
8,"smart: 0.5, 0.6",2,win via score
9,"smart: 0.5, 0.6",1,win via score
10,"smart: 0.5, 0.6",1,win via score
11,"smart: 0.5, 0.6",2,win via score
12,"smart: 0.5, 0.6",2,win via score
13,"smart: 0.5, 0.6",0,win via score
14,"smart: 0.5, 0.6",1,win via score
15,"smart: 0.5, 0.6",0,win via score
16,"smart: 0.5, 0.6",1,win via score
17,"smart: 0.5, 0.6",1,win via score
18,"smart: 0.5, 0.6",1,win via score
19,"smart: 0.5, 0.6",0,win via elim
20,"smart: 0.5, 0.6",3,win via score
21,"smart: 0.5, 0.6",1,win via score
22,"smart: 0.5, 0.6",3,win via score
23,"smart: 0.5, 0.6",0,win via elim
24,"smart: 0.5, 0.6",1,win via elim
25,"smart: 0.5, 0.6",2,win via score
26,"smart: 0.5, 0.6",0,win via score
27,"smart: 0.5, 0.6",3,win via score
28,"smart: 0.5, 0.6",0,win via score
29,"smart: 0.5, 0.6",3,win via score
30,"smart: 0.5, 0.6",1,win via elim
31,"smart: 0.5, 0.6",1,win via score
32,"smart: 0.5, 0.6",0,win via score
33,"smart: 0.5, 0.6",0,win via score
34,"smart: 0.5, 0.6",2,win via score
35,"smart: 0.5, 0.6",3,win via score
36,"smart: 0.5, 0.6",0,win via score
37,"smart: 0.5, 0.6",3,win via score
38,"smart: 0.5, 0.6",2,win via score
39,"smart: 0.5, 0.6",2,win via score
40,"smart: 0.5, 0.6",3,win via score
41,"smart: 0.5, 0.6",1,win via score
42,"smart: 0.5, 0.6",1,win via score
43,"smart: 0.5, 0.6",2,win via score
44,"smart: 0.5, 0.6",3,win via score
45,"smart: 0.5, 0.6",3,win via score
46,"smart: 0.5, 0.6",1,win via score
47,"smart: 0.5, 0.6",3,win via score
48,"smart: 0.5, 0.6",2,win via score
49,"smart: 0.5, 0.6",2,win via score
50,"smart: 0.5, 0.6",3,win via score
51,"smart: 0.5, 0.6",1,win via score
52,"smart: 0.5, 0.6",0,win via score
53,"smart: 0.5, 0.6",2,win via elim
54,"smart: 0.5, 0.6",3,win via score
55,"smart: 0.5, 0.6",1,win via score
56,"smart: 0.5, 0.6",3,win via score
57,"smart: 0.5, 0.6",0,win via score
58,"smart: 0.5, 0.6",1,win via score
59,"smart: 0.5, 0.6",3,win via score
60,"smart: 0.5, 0.6",3,win via score
61,"smart: 0.5, 0.6",2,win via score
62,"smart: 0.5, 0.6",3,win via score
63,"smart: 0.5, 0.6",3,win via score
64,"smart: 0.5, 0.6",3,win via score
65,"smart: 0.5, 0.6",3,win via score
66,"smart: 0.5, 0.6",2,win via score
67,"smart: 0.5, 0.6",2,win via score
68,"smart: 0.5, 0.6",1,win via score
69,"smart: 0.5, 0.6",0,win via score
70,"smart: 0.5, 0.6",0,win via score
71,"smart: 0.5, 0.6",0,win via score
72,"smart: 0.5, 0.6",1,win via score
73,"smart: 0.5, 0.6",1,win via score
74,"smart: 0.5, 0.6",1,win via score
75,"smart: 0.5, 0.6",2,win via score
76,"smart: 0.5, 0.6",2,win via elim
77,"smart: 0.5, 0.6",1,win via score
78,"smart: 0.5, 0.6",0,win via score
79,"smart: 0.5, 0.6",0,win via score
80,"smart: 0.5, 0.6",3,win via score
81,"smart: 0.5, 0.6",0,win via score
82,"smart: 0.5, 0.6",1,win via score
