,player_type,player,result
0,rand,3,win via score
1,rand,3,win via score
2,rand,1,win via score
3,rand,2,win via score
4,rand,2,win via score
5,rand,2,win via score
6,rand,1,win via score
7,rand,1,win via score
8,rand,3,win via score
9,rand,3,win via score
10,rand,3,win via score
11,rand,1,win via score
12,rand,1,win via score
13,rand,2,win via score
14,rand,1,win via score
15,rand,3,win via score
16,rand,3,win via score
17,rand,1,win via score
18,rand,2,win via score
19,rand,1,win via score
20,rand,2,win via score
21,rand,2,win via score
22,rand,1,win via score
23,rand,3,win via score
24,rand,3,win via score
25,rand,1,win via score
26,rand,1,win via score
27,rand,1,win via score
28,rand,2,win via score
29,rand,1,win via score
30,rand,1,win via score
31,rand,1,win via score
32,rand,1,win via score
33,rand,1,win via score
34,rand,1,win via score
35,rand,2,win via score
36,rand,3,win via score
37,rand,1,win via score
38,rand,1,win via score
39,rand,2,win via score
40,rand,3,win via score
41,rand,3,win via score
42,rand,2,win via score
43,rand,1,win via score
44,rand,3,win via score
45,rand,3,win via score
46,rand,1,win via score
47,rand,1,win via score
48,rand,1,win via score
49,rand,1,win via score
50,rand,3,win via score
51,rand,3,win via score
52,rand,2,win via score
53,rand,1,win via score
54,rand,2,win via score
55,rand,3,win via score
56,rand,2,win via score
57,rand,2,win via score
58,rand,1,win via score
59,rand,1,win via score
60,rand,3,win via score
61,rand,3,win via score
62,rand,2,win via score
63,rand,1,win via score
64,rand,3,win via score
65,rand,2,win via score
66,rand,2,win via score
67,rand,2,win via score
68,rand,3,win via score
69,rand,3,win via score
70,rand,1,win via score
71,rand,1,win via score
72,rand,3,win via score
73,rand,1,win via score
74,rand,2,win via score
75,rand,2,win via score
76,rand,3,win via score
77,rand,3,win via score
78,rand,1,win via score
79,rand,1,win via score
80,rand,2,win via score
81,rand,2,win via score
82,rand,1,win via score
83,rand,3,win via score
84,rand,3,win via score
85,rand,1,win via score
86,rand,1,win via score
87,rand,1,win via score
88,rand,1,win via score
89,rand,3,win via score
90,rand,3,win via score
91,rand,1,win via score
92,rand,2,win via score
93,rand,2,win via score
94,rand,3,win via score
95,rand,3,win via score
96,rand,2,win via score
97,rand,2,win via score
98,rand,2,win via score
99,rand,3,win via score
100,rand,1,win via score
101,rand,3,win via score
102,rand,3,win via score
103,rand,3,win via score
104,rand,1,win via score
105,rand,3,win via score
106,rand,1,win via score
107,rand,1,win via score
108,rand,2,win via score
109,rand,3,win via score
110,rand,3,win via score
111,rand,1,win via score
112,rand,2,win via score
113,rand,1,win via score
114,rand,1,win via score
115,rand,2,win via score
116,rand,2,win via score
117,rand,2,win via score
118,rand,1,win via score
119,rand,3,win via score
120,rand,3,win via score
121,rand,3,win via score
122,rand,1,win via score
123,rand,3,win via score
124,rand,3,win via score
125,rand,2,win via score
126,rand,3,win via score
127,rand,1,win via score
128,rand,1,win via score
129,rand,2,win via score
130,rand,1,win via score
131,rand,1,win via score
132,rand,1,win via score
133,rand,1,win via score
134,rand,1,win via score
135,rand,1,win via score
136,rand,1,win via score
137,rand,1,win via score
138,rand,1,win via score
139,rand,2,win via score
140,rand,1,win via score
141,rand,1,win via score
142,rand,2,win via score
143,rand,1,win via score
144,rand,2,win via score
145,rand,1,win via score
146,rand,2,win via score
147,rand,3,win via score
148,rand,1,win via score
149,rand,3,win via score
150,rand,1,win via score
151,rand,3,win via score
152,rand,1,win via score
153,rand,3,win via score
154,rand,3,win via score
155,rand,2,win via score
156,rand,3,win via score
157,rand,1,win via score
158,rand,3,win via score
159,rand,3,win via score
160,rand,2,win via score
161,rand,3,win via score
162,rand,3,win via score
163,rand,3,win via score
164,rand,2,win via score
165,rand,1,win via score
166,rand,2,win via score
167,rand,2,win via score
168,rand,3,win via score
169,rand,1,win via score
170,rand,3,win via score
171,rand,1,win via score
172,rand,3,win via score
173,rand,1,win via score
174,rand,2,win via score
175,rand,2,win via score
176,rand,3,win via score
177,rand,2,win via score
178,rand,3,win via score
179,rand,1,win via score
180,mean,0,win via elim
181,rand,1,win via score
182,rand,3,win via score
183,rand,2,win via score
184,rand,2,win via score
185,rand,2,win via score
186,rand,3,win via score
187,rand,3,win via score
188,mean,0,win via elim
189,rand,3,win via score
190,rand,3,win via score
191,rand,3,win via score
192,rand,2,win via score
193,rand,2,win via score
194,rand,2,win via score
195,rand,3,win via score
196,rand,3,win via score
197,rand,1,win via score
198,rand,2,win via score
199,rand,3,win via score
200,rand,3,win via score
201,rand,2,win via score
202,rand,1,win via score
203,rand,1,win via score
204,rand,3,win via score
205,rand,3,win via score
206,rand,3,win via score
207,rand,3,win via score
208,rand,2,win via score
209,rand,3,win via score
210,rand,1,win via score
211,rand,1,win via score
212,rand,2,win via score
213,rand,3,win via score
214,rand,3,win via score
215,rand,1,win via score
216,rand,2,win via score
217,rand,1,win via score
218,rand,3,win via score
219,rand,1,win via score
220,rand,1,win via score
221,rand,1,win via score
222,rand,3,win via score
223,rand,3,win via score
224,rand,2,win via score
225,rand,2,win via score
226,rand,2,win via score
227,rand,2,win via score
228,rand,2,win via score
229,rand,2,win via score
230,rand,3,win via score
231,rand,1,win via score
232,rand,1,win via score
233,rand,2,win via score
234,rand,1,win via score
235,rand,1,win via score
236,rand,1,win via score
237,rand,3,win via score
238,rand,2,win via score
239,rand,2,win via score
240,rand,3,win via score
241,rand,1,win via score
242,rand,3,win via score
243,rand,2,win via score
244,rand,2,win via score
245,rand,2,win via score
246,rand,2,win via score
247,rand,1,win via score
248,rand,2,win via score
249,rand,2,win via score
250,rand,1,win via score
251,rand,1,win via score
252,rand,1,win via score
253,rand,1,win via score
254,rand,1,win via score
255,rand,3,win via score
256,rand,2,win via score
257,rand,1,win via score
258,rand,2,win via score
259,rand,1,win via score
260,rand,3,win via score
261,rand,3,win via score
262,rand,1,win via score
263,rand,3,win via score
264,rand,1,win via score
265,rand,1,win via score
266,rand,3,win via score
267,rand,3,win via score
268,rand,2,win via score
269,rand,1,win via score
270,mean,0,win via elim
271,rand,1,win via score
272,rand,2,win via score
273,rand,1,win via score
274,rand,2,win via score
275,rand,1,win via score
276,rand,1,win via score
277,rand,2,win via score
278,rand,1,win via score
279,rand,2,win via score
280,rand,3,win via score
281,rand,3,win via score
282,rand,1,win via score
283,rand,3,win via score
284,rand,1,win via score
285,rand,1,win via score
286,rand,2,win via score
287,rand,2,win via score
288,rand,1,win via score
289,rand,2,win via score
290,rand,2,win via score
291,rand,3,win via score
292,rand,1,win via score
293,rand,2,win via score
294,rand,2,win via score
295,rand,2,win via score
296,rand,3,win via score
297,rand,1,win via score
298,rand,1,win via score
299,rand,2,win via score
300,rand,2,win via score
301,rand,2,win via score
302,rand,2,win via score
303,rand,3,win via score
304,rand,1,win via score
305,rand,2,win via score
306,rand,3,win via score
307,rand,2,win via score
308,rand,1,win via score
309,rand,2,win via score
310,rand,2,win via score
311,rand,2,win via score
312,rand,1,win via score
313,rand,2,win via score
314,rand,3,win via score
315,rand,1,win via score
316,rand,1,win via score
317,rand,3,win via score
318,rand,1,win via score
319,rand,2,win via score
320,rand,1,win via score
321,rand,2,win via score
322,rand,3,win via score
323,rand,2,win via score
324,rand,2,win via score
325,rand,3,win via score
326,rand,1,win via score
327,rand,2,win via score
328,rand,1,win via score
329,rand,3,win via score
330,rand,2,win via score
331,rand,2,win via score
332,rand,1,win via score
333,rand,1,win via score
334,rand,2,win via score
335,rand,1,win via score
336,rand,3,win via score
337,rand,3,win via score
338,mean,0,win via elim
339,rand,1,win via score
340,rand,3,win via score
341,rand,2,win via score
342,rand,2,win via score
343,rand,1,win via score
344,rand,2,win via score
345,rand,1,win via score
346,rand,2,win via score
347,rand,3,win via score
348,rand,1,win via score
349,rand,3,win via score
350,rand,1,win via score
351,mean,0,win via elim
352,rand,3,win via score
353,rand,1,win via score
354,rand,3,win via score
355,rand,1,win via score
356,rand,2,win via score
357,rand,3,win via score
358,rand,1,win via score
359,rand,2,win via score
360,rand,2,win via score
361,rand,2,win via score
362,rand,3,win via score
363,rand,3,win via score
364,rand,2,win via score
365,rand,2,win via score
366,rand,2,win via score
367,rand,1,win via score
368,rand,1,win via score
369,rand,1,win via score
370,rand,3,win via score
371,rand,1,win via score
372,rand,3,win via score
373,rand,2,win via score
374,rand,1,win via score
375,rand,2,win via score
376,rand,2,win via score
377,rand,3,win via score
378,rand,3,win via score
379,rand,1,win via score
380,rand,3,win via score
381,rand,2,win via score
382,rand,3,win via score
383,rand,3,win via score
384,rand,1,win via score
385,rand,1,win via score
386,rand,3,win via score
387,rand,2,win via score
388,rand,2,win via score
389,rand,1,win via score
390,rand,2,win via score
391,rand,2,win via score
392,rand,1,win via score
393,rand,2,win via score
394,rand,3,win via score
395,rand,1,win via score
396,rand,3,win via score
397,rand,2,win via score
398,rand,3,win via score
399,rand,2,win via score
400,rand,2,win via score
401,rand,3,win via score
402,rand,1,win via score
403,rand,2,win via score
404,rand,1,win via score
405,rand,2,win via score
406,rand,3,win via score
407,rand,2,win via score
408,rand,1,win via score
409,rand,2,win via score
410,rand,1,win via score
411,rand,1,win via score
412,rand,1,win via score
413,rand,3,win via score
414,rand,1,win via score
415,rand,1,win via score
416,rand,1,win via score
417,rand,1,win via score
418,rand,2,win via score
419,rand,1,win via score
420,rand,1,win via score
421,rand,3,win via score
422,rand,1,win via score
423,rand,2,win via score
424,rand,2,win via score
425,rand,1,win via score
426,rand,1,win via score
427,rand,2,win via score
428,rand,1,win via score
429,rand,1,win via score
430,rand,3,win via score
431,rand,1,win via score
432,rand,1,win via score
433,rand,1,win via score
434,rand,2,win via score
435,rand,2,win via score
436,rand,2,win via score
437,rand,3,win via score
438,rand,3,win via score
439,rand,3,win via score
440,rand,2,win via score
441,rand,3,win via score
442,rand,2,win via score
443,rand,1,win via score
444,rand,2,win via score
445,rand,1,win via score
446,rand,2,win via score
447,rand,3,win via score
448,rand,1,win via score
449,rand,3,win via score
450,rand,1,win via score
451,rand,3,win via score
452,rand,2,win via score
453,rand,3,win via score
454,rand,2,win via score
455,rand,3,win via score
456,rand,2,win via score
457,rand,1,win via score
458,rand,1,win via score
459,rand,3,win via score
460,rand,1,win via score
461,rand,3,win via score
462,rand,2,win via score
463,rand,2,win via score
464,rand,2,win via score
465,rand,1,win via score
466,rand,1,win via score
467,rand,3,win via score
468,rand,3,win via score
469,rand,1,win via score
470,rand,1,win via score
471,rand,1,win via score
472,rand,3,win via score
473,rand,1,win via score
474,rand,3,win via score
475,rand,2,win via score
476,rand,3,win via score
477,rand,2,win via score
478,rand,3,win via score
479,rand,3,win via score
480,rand,2,win via score
481,rand,2,win via score
482,rand,2,win via score
483,rand,2,win via score
484,rand,3,win via score
485,rand,3,win via score
486,rand,1,win via score
487,rand,1,win via score
488,rand,1,win via score
489,rand,1,win via score
490,rand,1,win via score
491,rand,2,win via score
492,rand,2,win via score
493,rand,3,win via score
494,rand,2,win via score
495,rand,3,win via score
496,rand,3,win via score
497,rand,2,win via score
498,rand,3,win via score
499,rand,3,win via score
500,rand,3,win via score
501,rand,1,win via score
502,rand,1,win via score
503,rand,3,win via score
504,rand,3,win via score
505,rand,1,win via score
506,rand,3,win via score
507,rand,1,win via score
508,rand,2,win via score
509,rand,3,win via score
510,rand,3,win via score
511,rand,1,win via score
512,rand,2,win via score
513,rand,1,win via score
514,rand,1,win via score
515,rand,2,win via score
516,rand,2,win via score
517,rand,3,win via score
518,rand,3,win via score
519,rand,3,win via score
520,rand,2,win via score
521,rand,1,win via score
522,rand,2,win via score
523,rand,2,win via score
524,rand,1,win via score
525,rand,2,win via score
526,rand,1,win via score
527,rand,2,win via score
528,rand,1,win via score
529,rand,1,win via score
530,rand,1,win via score
531,rand,3,win via score
532,rand,1,win via score
533,rand,1,win via score
534,rand,2,win via score
535,rand,3,win via score
536,rand,1,win via score
537,rand,2,win via score
538,rand,1,win via score
539,rand,1,win via score
540,rand,3,win via score
541,rand,1,win via score
542,rand,2,win via score
543,rand,3,win via score
544,rand,3,win via score
545,rand,1,win via score
546,rand,3,win via score
547,rand,3,win via score
548,rand,3,win via score
549,rand,2,win via score
550,rand,2,win via score
551,rand,2,win via score
552,rand,3,win via score
553,rand,3,win via score
554,rand,1,win via score
555,rand,2,win via score
556,rand,1,win via score
557,rand,3,win via score
558,rand,2,win via score
559,rand,1,win via score
560,rand,1,win via score
561,rand,1,win via score
562,rand,3,win via score
563,rand,1,win via score
564,rand,2,win via score
565,rand,3,win via score
566,rand,1,win via score
567,rand,1,win via score
568,rand,2,win via score
569,rand,3,win via score
570,rand,2,win via score
571,rand,1,win via score
572,rand,2,win via score
573,rand,2,win via score
574,rand,1,win via score
575,rand,3,win via score
576,rand,1,win via score
577,rand,1,win via score
578,rand,2,win via score
579,rand,2,win via score
580,rand,3,win via score
581,rand,3,win via score
582,rand,3,win via score
583,rand,1,win via score
584,rand,3,win via score
585,rand,3,win via score
586,rand,1,win via score
587,rand,2,win via score
588,rand,1,win via score
589,rand,2,win via score
590,rand,2,win via score
591,rand,1,win via score
592,rand,2,win via score
593,rand,2,win via score
594,rand,1,win via score
595,rand,1,win via score
596,rand,3,win via score
597,rand,2,win via score
598,rand,1,win via score
599,rand,1,win via score
600,rand,2,win via score
601,rand,2,win via score
602,rand,2,win via score
603,rand,1,win via score
604,rand,1,win via score
605,rand,1,win via score
606,rand,3,win via score
607,rand,1,win via score
608,rand,1,win via score
609,rand,1,win via score
610,rand,1,win via score
611,rand,1,win via score
612,mean,0,win via elim
613,rand,3,win via score
614,rand,2,win via score
615,rand,1,win via score
616,rand,1,win via score
