,player_type,player,result
0,rand,2,win via score
1,nice,0,win via score
2,nice,0,win via score
3,rand,3,win via score
4,nice,0,win via score
5,rand,2,win via score
6,rand,2,win via score
7,nice,0,win via score
8,nice,0,win via score
9,nice,0,win via score
10,nice,0,win via score
11,nice,0,win via score
12,rand,2,win via score
13,nice,0,win via score
14,rand,2,win via score
15,rand,3,win via score
16,nice,0,win via score
17,rand,2,win via score
18,nice,0,win via score
19,nice,0,win via score
20,rand,2,win via score
21,rand,3,win via score
22,rand,3,win via score
23,nice,0,win via score
24,nice,0,win via score
25,nice,0,win via score
26,rand,3,win via score
27,nice,0,win via score
28,rand,2,win via score
29,rand,3,win via score
30,nice,0,win via score
31,nice,0,win via score
32,rand,2,win via score
33,rand,3,win via score
34,rand,3,win via score
35,nice,0,win via score
36,rand,3,win via score
37,rand,2,win via score
38,nice,0,win via score
39,rand,2,win via score
40,rand,3,win via score
41,nice,0,win via score
42,rand,2,win via score
43,rand,3,win via score
44,nice,0,win via score
45,rand,3,win via score
46,rand,3,win via score
47,rand,3,win via score
48,rand,3,win via score
49,rand,2,win via score
50,rand,2,win via score
51,rand,2,win via score
52,rand,3,win via score
53,rand,2,win via score
54,nice,0,win via score
55,rand,2,win via score
56,nice,0,win via score
57,rand,3,win via score
58,rand,2,win via score
59,rand,3,win via score
60,nice,0,win via score
61,nice,0,win via score
62,rand,3,win via score
63,rand,3,win via score
64,rand,3,win via score
65,nice,0,win via score
66,rand,3,win via score
67,nice,0,win via score
68,rand,2,win via score
69,rand,3,win via score
70,nice,0,win via score
71,rand,2,win via score
72,nice,0,win via score
73,rand,3,win via score
74,rand,3,win via score
75,rand,2,win via score
76,rand,2,win via score
77,rand,3,win via score
78,nice,0,win via score
79,nice,0,win via score
80,nice,0,win via score
81,nice,0,win via score
82,rand,2,win via score
83,nice,0,win via score
84,rand,3,win via score
85,nice,0,win via score
86,rand,3,win via score
87,rand,2,win via score
88,nice,0,win via score
89,rand,2,win via score
90,rand,3,win via score
91,nice,0,win via score
92,nice,0,win via score
93,rand,3,win via score
94,rand,2,win via score
95,nice,0,win via score
96,rand,3,win via score
97,nice,0,win via score
98,rand,2,win via score
99,nice,0,win via score
100,nice,0,win via score
101,rand,2,win via score
102,rand,2,win via score
103,rand,2,win via score
104,rand,2,win via score
105,rand,2,win via score
106,rand,3,win via score
107,rand,2,win via score
108,rand,3,win via score
109,nice,0,win via score
110,nice,0,win via score
111,nice,0,win via score
112,rand,3,win via score
113,nice,0,win via score
114,nice,0,win via score
115,rand,2,win via score
116,nice,0,win via score
117,nice,0,win via score
118,nice,0,win via score
119,rand,2,win via score
120,rand,3,win via score
121,rand,2,win via score
122,rand,2,win via score
123,nice,0,win via score
124,rand,3,win via score
125,mean,1,win via elim
126,rand,3,win via score
127,rand,2,win via score
128,nice,0,win via score
129,rand,3,win via score
130,nice,0,win via score
131,rand,2,win via score
132,nice,0,win via score
133,rand,2,win via score
134,rand,2,win via score
135,rand,3,win via score
136,nice,0,win via score
137,nice,0,win via score
138,rand,2,win via score
139,nice,0,win via score
140,rand,2,win via score
141,rand,3,win via score
142,nice,0,win via score
143,rand,2,win via score
144,rand,2,win via score
145,nice,0,win via score
146,nice,0,win via score
147,rand,2,win via score
148,rand,3,win via score
149,nice,0,win via score
150,nice,0,win via score
151,nice,0,win via score
152,rand,3,win via score
153,rand,3,win via score
154,rand,2,win via score
155,nice,0,win via score
156,nice,0,win via score
157,nice,0,win via score
158,rand,3,win via score
159,nice,0,win via score
160,nice,0,win via score
161,rand,3,win via score
162,mean,1,win via elim
163,rand,3,win via score
164,rand,3,win via score
165,nice,0,win via score
166,rand,3,win via score
167,nice,0,win via score
168,nice,0,win via score
169,rand,2,win via score
170,nice,0,win via score
171,nice,0,win via score
172,rand,3,win via score
173,nice,0,win via score
174,nice,0,win via score
175,rand,2,win via score
176,rand,2,win via score
177,rand,3,win via score
178,nice,0,win via score
179,rand,2,win via score
180,nice,0,win via score
181,nice,0,win via score
182,nice,0,win via score
183,nice,0,win via score
184,nice,0,win via score
185,nice,0,win via score
186,rand,3,win via score
