,player_type,player,result
0,nice,0,win via score
1,rand,3,win via score
2,rand,3,win via score
3,nice,0,win via score
4,rand,2,win via score
5,nice,0,win via score
6,nice,0,win via score
7,nice,0,win via score
8,rand,2,win via score
9,nice,0,win via score
10,rand,2,win via score
11,rand,2,win via score
12,rand,3,win via score
13,nice,0,win via score
14,nice,0,win via score
15,nice,0,win via score
16,rand,3,win via score
17,rand,1,win via score
18,nice,0,win via score
19,rand,3,win via score
20,rand,2,win via score
21,rand,1,win via score
22,rand,2,win via score
23,nice,0,win via score
24,nice,0,win via score
25,nice,0,win via score
26,rand,1,win via score
27,rand,1,win via score
28,nice,0,win via score
29,nice,0,win via score
30,nice,0,win via score
31,nice,0,win via score
32,nice,0,win via score
33,rand,2,win via score
34,nice,0,win via score
35,nice,0,win via score
36,nice,0,win via score
37,nice,0,win via score
38,nice,0,win via score
39,nice,0,win via score
40,nice,0,win via score
41,nice,0,win via score
42,nice,0,win via score
43,rand,3,win via score
44,nice,0,win via score
45,nice,0,win via score
46,rand,2,win via score
47,nice,0,win via score
48,nice,0,win via score
49,rand,1,win via score
50,rand,2,win via elim
51,nice,0,win via score
52,rand,2,win via score
53,nice,0,win via score
54,nice,0,win via score
55,rand,1,win via elim
56,nice,0,win via score
57,rand,2,win via score
58,rand,3,win via score
59,nice,0,win via score
60,nice,0,win via score
61,rand,3,win via score
62,nice,0,win via score
63,rand,3,win via score
64,rand,1,win via score
65,nice,0,win via score
66,nice,0,win via score
67,nice,0,win via score
68,rand,2,win via score
69,rand,3,win via score
70,nice,0,win via score
71,rand,1,win via score
72,rand,3,win via score
73,rand,3,win via score
74,nice,0,win via score
75,rand,2,win via score
76,rand,2,win via score
77,nice,0,win via score
78,rand,3,win via score
79,rand,2,win via score
80,rand,3,win via score
81,nice,0,win via score
82,rand,1,win via score
83,rand,3,win via score
84,rand,1,win via score
85,nice,0,win via score
86,nice,0,win via score
87,rand,1,win via score
88,nice,0,win via score
89,nice,0,win via score
90,nice,0,win via score
91,rand,3,win via score
92,nice,0,win via score
